Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,AS,IFAS
1950,Curly Armstrong,G-F,31,FTW,63,,,,0.368,,0.467,,,,,,,,,-0.1,3.6,3.5,,,,,,144,516,0.279,,,,144,516,0.279,0.279,170,241,0.705,,,,176,,,,217,458,0,0
1950,Cliff Barker,SG,29,INO,49,,,,0.435,,0.387,,,,,,,,,1.6,0.6,2.2,,,,,,102,274,0.372,,,,102,274,0.372,0.372,75,106,0.708,,,,109,,,,99,279,0,0
1950,Leo Barnhorst,SF,25,CHS,67,,,,0.394,,0.259,,,,,,,,,0.9,2.8,3.6,,,,,,174,499,0.349,,,,174,499,0.349,0.349,90,129,0.698,,,,140,,,,192,438,2,1
1950,Ed Bartels,F,24,TOT,15,,,,0.312,,0.395,,,,,,,,,-0.5,-0.1,-0.6,,,,,,22,86,0.256,,,,22,86,0.256,0.256,19,34,0.559,,,,20,,,,29,63,0,0
1950,Ralph Beard,G,22,INO,60,,,,0.422,,0.301,,,,,,,,,3.6,1.2,4.8,,,,,,340,936,0.363,,,,340,936,0.363,0.363,215,282,0.762,,,,233,,,,132,895,1,1
1950,Gene Berce,G-F,23,TRI,3,,,,0.275,,0.313,,,,,,,,,-0.1,0,-0.1,,,,,,5,16,0.313,,,,5,16,0.313,0.313,0,5,0,,,,2,,,,6,10,0,0
1950,Charlie Black,F-C,28,TOT,65,,,,0.346,,0.395,,,,,,,,,-2.2,5,2.8,,,,,,226,813,0.278,,,,226,813,0.278,0.278,209,321,0.651,,,,163,,,,273,661,0,0
1950,Nelson Bobb,PG,25,PHW,57,,,,0.396,,0.528,,,,,,,,,0.4,1.3,1.8,,,,,,80,248,0.323,,,,80,248,0.323,0.323,82,131,0.626,,,,46,,,,97,242,0,0
1950,Jake Bornheimer,F-C,22,PHW,60,,,,0.356,,0.384,,,,,,,,,-0.7,1.5,0.8,,,,,,88,305,0.289,,,,88,305,0.289,0.289,78,117,0.667,,,,40,,,,111,254,0,0
1950,Vince Boryla,SF,22,NYK,59,,,,0.426,,0.445,,,,,,,,,2.6,1.4,3.9,,,,,,204,600,0.34,,,,204,600,0.34,0.34,204,267,0.764,,,,95,,,,203,612,1,1
1950,Don Boven,F-G,24,WAT,62,,,,0.461,,0.625,,,,,,,,,4.4,-0.7,3.8,,,,,,208,558,0.373,,,,208,558,0.373,0.373,240,349,0.688,,,,137,,,,255,656,0,0
1950,Harry Boykoff,C,27,WAT,61,,,,0.479,,0.375,,,,,,,,,6,-0.7,5.3,,,,,,288,698,0.413,,,,288,698,0.413,0.413,203,262,0.775,,,,149,,,,229,779,0,0
1950,Joe Bradley,G,21,CHS,46,,,,0.289,,0.284,,,,,,,,,-1,0.7,-0.3,,,,,,36,134,0.269,,,,36,134,0.269,0.269,15,38,0.395,,,,36,,,,51,87,0,0
1950,Bob Brannum,PF,24,SHE,59,,,,0.408,,0.494,,,,,,,,,2.1,-0.5,1.6,,,,,,234,718,0.326,,,,234,718,0.326,0.326,245,355,0.69,,,,205,,,,279,713,0,0
1950,Carl Braun,G-F,22,NYK,67,,,,0.434,,0.365,,,,,,,,,5.2,1.9,7.2,,,,,,373,1024,0.364,,,,373,1024,0.364,0.364,285,374,0.762,,,,247,,,,188,1031,5,1
1950,Frankie Brian,G,26,AND,64,,,,0.415,,0.422,,,,,,,,,3.6,5.6,9.2,,,,,,368,1156,0.318,,,,368,1156,0.318,0.318,402,488,0.824,,,,189,,,,192,1138,0,0
1950,Price Brookfield,F-G,29,ROC,7,,,,0.592,,0.565,,,,,,,,,0.5,0.1,0.5,,,,,,11,23,0.478,,,,11,23,0.478,0.478,12,13,0.923,,,,1,,,,7,34,0,0
1950,Bob Brown,F,26,DNN,62,,,,0.414,,0.33,,,,,,,,,2.1,-0.9,1.2,,,,,,276,764,0.361,,,,276,764,0.361,0.361,172,252,0.683,,,,101,,,,269,724,0,0
1950,Jim Browne,C,20,DNN,31,,,,0.392,,0.563,,,,,,,,,0.1,-0.1,0,,,,,,17,48,0.354,,,,17,48,0.354,0.354,13,27,0.481,,,,8,,,,16,47,0,0
